Depth [m],Temperature [degC]
0.012470771628994544, 81.77777777777777
0.09976617303195635, 80.56140350877193
0.18862042088854247, 78.03508771929825
0.2790335151987529, 75.41520467836257
0.3710054559625877, 73.54385964912281
0.4660950896336711, 70.54970760233918
0.5565081839438816, 67.9298245614035
0.6983632112236945, 64.37426900584795
0.8339828526890102, 60.163742690058484
0.9773967264224475, 56.140350877192986
1.1176929072486361, 52.30409356725146
1.2533125487139516, 49.02923976608187
1.3499610288386594, 45.28654970760234
1.3936087295401403, 43.50877192982456
1.4824629773967264, 40.7953216374269
1.5744349181605612, 37.98830409356725
1.6742010911925176, 34.80701754385965
1.7583787996882307, 30.22222222222223
1.8129384255650818, 23.76608187134503
1.853468433359314, 0.6549707602339225